transaction_id,date_time,store_location,customer_id,book_id,sale_price,payment_method,is_online
T1087,,Suburban,C1034,B1077,11.99,debit,0.0
T1088,29/01/23 11:15,Suburban,C1078,B1095,9.99,credit,0.0
T1089,29/01/23 12:30,Downtown,C1067,B1001,8.99,cash,0.0
T1090,29/01/23 13:45,Suburban,C1056,B1064,10.99,credit,0.0
T1091,29/01/23 14:20,Suburban,C1089,B1008,12.99,debit,0.0
T1092,,University,C1012,B1087,10.99,credit,0.0
T1093,30/01/23 10:45,University,C1023,B1071,13.99,credit,1.0
T1094,30/01/23 11:55,Downtown,C1045,B1059,9.99,cash,0.0
T1095,30/01/23 13:30,,C1034,B1047,12.99,credit,0.0
T1096,30/01/23 14:45,University,C1078,B1094,9.99,debit,0.0
T1097,31/01/23 09:25,University,C1067,B1082,12.99,credit,0.0
T1098,31/01/23 10:40,Downtown,C1056,B1003,7.99,cash,0.0
T1099,31/01/23 11:50,University,C1089,B1075,12.99,credit,1.0
T1100,31/01/23 13:35,University,C1012,B1027,10.99,debit,0.0
T1084,28/01/23 11:35,Suburban,C1012,B1097,7.99,,0.0
T1085,28/01/23 13:45,Suburban,C1023,B1060,11.99,cash,0.0
T1086,28/01/23 14:25,Downtown,C1045,B1032,10.99,credit,1.0
T1087,28/01/23 15:40,Suburban,C1034,B1077,11.99,debit,0.0
T1098,31/01/23 10:40,Downtown,C1056,B1003,7.99,cash,0.0
T1099,31/01/23 11:50,University,C1089,B1075,12.99,credit,1.0
T1100,31/01/23 13:35,University,C1012,B1027,10.99,debit,0.0
T1011,,University,C1012,B1087,10.99,credit,0.0
T1012,16/01/23 13:15,,C1078,B1064,10.99,debit,0.0
T1013,16/01/23 14:25,,C1034,B1027,10.99,credit,0.0
T1014,16/01/23 15:40,Downtown,C1056,B1059,9.99,cash,0.0
T1024,16/01/23 15:40,Downtown,C1056,,9.99,,0.0
T1005,15/01/23 13:45,University,C1034,B1075,12.99,debit,0.0
T1006,15/01/23 14:20,,C1056,B1001,8.99,,0.0
T1007,15/01/23 15:30,University,C1089,B1047,12.99,credit,0.0
T1008,15/01/23 16:45,Suburban,C1067,B1095,9.99,,0.0
T1009,16/01/23 09:15,University,C1023,B1013,7.99,credit,1.0
T1010,16/01/23 10:20,,C1045,B1083,10.99,cash,0.0
