book_id,title,author,isbn,genre,condition,purchase_price,list_price,date_acquired,current_location,quantity
B1063,"Tess of the d'Urbervilles","Thomas Hardy","9780141439594","Classic Fiction","Fair",5.00,8.99,2023-02-15,"Downtown",2
B1064,"The Adventures of Sherlock Holmes","Arthur Conan Doyle","9780142437674","Classic Mystery","Good",6.50,10.99,2023-02-15,"Suburban",3
B1065,"The Aeneid","Virgil","9780140446272","Classic Poetry","Very Good",7.00,11.99,2023-02-16,"University",3
B1066,"The Age of Innocence","Edith Wharton","9780140189704","Classic Fiction","Good",6.00,9.99,2023-02-16,"Downtown",2
B1067,"The Bell Jar","Sylvia Plath","9780060837020","Classic Fiction","Like New",8.00,12.99,2023-02-17,"University",4
B1068,"The Brothers Karamazov","Fyodor Dostoevsky","9780140449242","Classic Fiction","Very Good",7.50,12.99,2023-02-17,"University",3
B1069,"The Call of the Wild","Jack London","9780140186512","Classic Fiction","Good",6.00,9.99,2023-02-18,"Suburban",2
B1070,"The Canterbury Tales","Geoffrey Chaucer","9780140424386","Classic Poetry","Fair",5.00,8.99,2023-02-18,"University",4
B1071,"The Catcher in the Rye","J.D. Salinger","9780316769488","Classic Fiction","Like New",8.50,13.99,2023-02-19,"University",5
B1072,"The Count of Monte Cristo","Alexandre Dumas","9780140449266","Classic Fiction","Good",7.00,11.99,2023-02-19,"Downtown",2
B1073,"The Divine Comedy","Dante Alighieri","9780142437223","Classic Poetry","Very Good",7.50,12.99,2023-02-20,"University",3
B1074,"The Grapes of Wrath","John Steinbeck","9780143039433","Classic Fiction","Good",7.00,11.99,2023-02-20,"University",4
B1075,"The Great Gatsby","F. Scott Fitzgerald","9780743273565","Classic Fiction","Like New",8.00,12.99,2023-02-21,"University",5
B1076,"The Heart is a Lonely Hunter","Carson McCullers","9780141185224","Classic Fiction","Good",6.50,10.99,2023-02-21,"Downtown",2
B1077,"The Hound of the Baskervilles","Arthur Conan Doyle","9780140437867","Classic Mystery","Very Good",7.00,11.99,2023-02-22,"Suburban",3
B1078,"The Importance of Being Earnest","Oscar Wilde","9780140436068","Classic Drama","Good",6.00,9.99,2023-02-22,"University",4
B1079,"The Jungle","Upton Sinclair","9780140390315","Classic Fiction","Fair",5.00,8.99,2023-02-23,"University",3
B1080,"The Little Prince","Antoine de Saint-Exupéry","9780156012195","Classic Fiction","Like New",7.50,12.99,2023-02-23,"Downtown",3
B1081,"The Metamorphosis","Franz Kafka","9780141023459","Classic Fiction","Good",6.50,10.99,2023-02-24,"University",4
B1082,"The Odyssey","Homer","9780140449112","Classic Poetry","Very Good",7.50,12.99,2023-02-24,"University",5
B1083,"The Picture of Dorian Gray","Oscar Wilde","9780141439570","Classic Fiction","Good",6.50,10.99,2023-02-25,"Downtown",3
B1084,"The Prince","Niccolo Machiavelli","9780140449150","Classic Philosophy","Fair",5.00,8.99,2023-02-25,"University",4
B1085,"The Red Badge of Courage","Stephen Crane","9780140437980","Classic Fiction","Very Good",6.50,10.99,2023-02-26,"Suburban",2
B1086,"The Republic","Plato","9780140455113","Classic Philosophy","Like New",8.00,13.99,2023-02-26,"University",4
B1087,"The Scarlet Letter","Nathaniel Hawthorne","9780142437261","Classic Fiction","Good",6.50,10.99,2023-02-27,"University",5
B1088,"The Sound and the Fury","William Faulkner","9780679732242","Classic Fiction","Very Good",7.00,11.99,2023-02-27,"University",3
B1089,"The Strange Case of Dr. Jekyll and Mr. Hyde","Robert Louis Stevenson","9780141439730","Classic Fiction","Good",6.00,9.99,2023-02-28,"Downtown",2
B1090,"The Sun Also Rises","Ernest Hemingway","9780743297332","Classic Fiction","Like New",8.00,12.99,2023-02-28,"University",4
B1091,"The Tale of Genji","Murasaki Shikibu","9780142437148","Classic Fiction","Fair",5.50,9.99,2023-03-01,"Downtown",1
B1092,"The Three Musketeers","Alexandre Dumas","9780140449266","Classic Fiction","Very Good",7.00,11.99,2023-03-01,"Suburban",2
B1093,"The Trial","Franz Kafka","9780141182902","Classic Fiction","Good",6.50,10.99,2023-03-02,"University",3
B1094,"The Waste Land","T.S. Eliot","9780571097128","Classic Poetry","Very Good",6.00,9.99,2023-03-02,"University",4
B1095,"The Wind in the Willows","Kenneth Grahame","9780143039099","Classic Fiction","Good",5.50,9.99,2023-03-03,"Suburban",2
B1096,"Thus Spoke Zarathustra","Friedrich Nietzsche","9780140441185","Classic Philosophy","Like New",8.00,13.99,2023-03-03,"University",3
B1097,"Treasure Island","Robert Louis Stevenson","9780141321011","Classic Fiction","Fair",4.50,7.99,2023-03-04,"Suburban",2
B1098,"Ulysses","James Joyce","9780141182803","Classic Fiction","Very Good",8.00,13.99,2023-03-04,"University",3
B1099,"Walden","Henry David Thoreau","9780140390445","Classic Non-Fiction","Good",6.50,10.99,2023-03-05,"University",4
B1100,"Wuthering Heights","Emily Bronte","9780141439556","Classic Fiction","Like New",7.50,12.99,2023-03-05,"University",4
